CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41687715,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1887,ROCKAWAY PARKWAY,11236.0,7182094242,Caribbean,08/16/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,43.0,C,08/16/2017,09/18/2019,Cycle Inspection / Re-inspection,40.63630409264,-73.89247194172499,318.0,46.0,102200.0,3233728.0,3082810024.0,BK50
50001450,CARIBBEAN JERKEE'S DELIGHT,Brooklyn,932,UTICA AVE,11203.0,5163438092,Caribbean,05/17/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11.0,A,05/17/2017,09/18/2019,Cycle Inspection / Re-inspection,40.650457979057,-73.930256219584,317.0,45.0,86000.0,3102839.0,3046970031.0,BK91
50013528,CARVEL ICE CREAM,Brooklyn,7517,3RD AVE,11209.0,7187455200,American,01/16/2019,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,10.0,A,01/16/2019,09/18/2019,Cycle Inspection / Initial Inspection,40.631267838386,-74.027856311717,310.0,43.0,6600.0,3148708.0,3059400004.0,BK31
40396492,ROYAL KING'S PIZZA,Brooklyn,5211,5 AVENUE,11220.0,7184923846,Pizza,12/19/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12.0,A,12/19/2018,09/18/2019,Cycle Inspection / Initial Inspection,40.643849974348996,-74.01160298782,307.0,38.0,10000.0,3013939.0,3008080005.0,BK34
50058248,NACHO MACHO TACO,Brooklyn,82,5TH AVE,11217.0,7186228282,Mexican,05/24/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,25.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.680557049559,-73.977660919991,306.0,39.0,12901.0,3018668.0,3009340043.0,BK37
40871752,JIAN ON CHINESE RESTAURANT,Queens,26805,HILLSIDE AVENUE,11004.0,7184706538,Chinese,07/10/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,12.0,A,07/10/2017,09/18/2019,Cycle Inspection / Initial Inspection,40.738915701818,-73.700928057808,413.0,23.0,157901.0,4179626.0,4087800001.0,QN44
50092588,BAGEL CLUB,Queens,20521,35TH AVE,11361.0,7184236106,Bagels/Pretzels,08/12/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,30.0,Z,08/12/2019,09/18/2019,Pre-permit (Operational) / Re-inspection,40.766747570384,-73.78258587514,411.0,19.0,109900.0,4135513.0,4060900025.0,QN46
50060077,LUNA PIZZERIA,Brooklyn,1115,KINGS HWY,11229.0,7189984400,Pizza,04/25/2017,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Y,46.0,,,09/18/2019,Pre-permit (Operational) / Initial Inspection,40.607426348312,-73.96164467538901,315.0,48.0,55400.0,3182822.0,3067940007.0,BK25
50050890,BOHAUS COFFEE  AND FLOWERS,Brooklyn,406,MARCUS GARVEY BLVD,11216.0,7202759932,Café/Coffee/Tea,10/23/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,20.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.682985339313,-73.938056899321,303.0,36.0,27500.0,3053173.0,3018470036.0,BK35
40373888,IL MULINO,Manhattan,86,WEST    3 STREET,10012.0,2126733783,Italian,09/26/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,17.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.729844320711,-73.998960872846,102.0,1.0,6500.0,1008673.0,1005390017.0,MN23
41358740,DUNKIN',Manhattan,355,EAST   86 STREET,10028.0,2128764510,Donuts,04/15/2016,Violations were cited in the following area(s).,20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,N,,,,09/18/2019,Administrative Miscellaneous / Re-inspection,40.777339944573995,-73.95046891122699,108.0,5.0,14602.0,1050031.0,1015490024.0,MN32
41586413,CORNERSTONE CAFE,Manhattan,17,AVENUE B,10009.0,2122281260,American,01/25/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10.0,A,01/25/2019,09/18/2019,Cycle Inspection / Re-inspection,40.722105622377,-73.983361472813,103.0,2.0,2202.0,1004587.0,1003850001.0,MN28
50018980,MOKJA,Queens,3519,BROADWAY,11106.0,7187210654,Korean,01/03/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,10.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.760372486822,-73.921968229703,401.0,22.0,6100.0,4009761.0,4006480001.0,QN70
41311453,BESO,Staten Island,11,SCHUYLER ST,10301.0,7188168162,Spanish,02/20/2019,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,12.0,A,02/20/2019,09/18/2019,Cycle Inspection / Initial Inspection,40.643350145468,-74.076539516097,501.0,49.0,300.0,5000065.0,5000070050.0,SI22
